<div class="mcq" data-answer="C"><div class="question">Which type of data profiling focuses on validating schema, datatypes, and formats?</div><div class="options"><label class="option"><input type="radio" name="w2q1" value="A"><span class="opt-text">A. Content Discovery</span></label><label class="option"><input type="radio" name="w2q1" value="B"><span class="opt-text">B. Relationship Discovery</span></label><label class="option"><input type="radio" name="w2q1" value="C"><span class="opt-text">C. Structure Discovery</span></label><label class="option"><input type="radio" name="w2q1" value="D"><span class="opt-text">D. Target Discovery</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: C</div><div class="explanation">Explanation: Structure discovery verifies schema, data types, and formats before deeper analysis.</div></div>
<div class="mcq" data-answer="C"><div class="question">Which missingness type means &quot;missingness depends on the value itself&quot;?</div><div class="options"><label class="option"><input type="radio" name="w2q2" value="A"><span class="opt-text">A. MCAR</span></label><label class="option"><input type="radio" name="w2q2" value="B"><span class="opt-text">B. MAR</span></label><label class="option"><input type="radio" name="w2q2" value="C"><span class="opt-text">C. MNAR</span></label><label class="option"><input type="radio" name="w2q2" value="D"><span class="opt-text">D. Random Noise</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: C</div><div class="explanation">Explanation: MNAR means the probability of missingness depends on the missing value itself.</div></div>
<div class="mcq" data-answer="A"><div class="question">A dataset has &quot;randomly unrecorded age&quot; with no pattern. This is most likely:</div><div class="options"><label class="option"><input type="radio" name="w2q3" value="A"><span class="opt-text">A. MCAR</span></label><label class="option"><input type="radio" name="w2q3" value="B"><span class="opt-text">B. MAR</span></label><label class="option"><input type="radio" name="w2q3" value="C"><span class="opt-text">C. MNAR</span></label><label class="option"><input type="radio" name="w2q3" value="D"><span class="opt-text">D. Not Missing</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: A</div><div class="explanation">Explanation: MCAR indicates missingness is unrelated to any observed or unobserved data.</div></div>
<div class="mcq" data-answer="C"><div class="question">&quot;Income is missing more often for people with low income because they don&#x27;t want to report it.&quot; This is:</div><div class="options"><label class="option"><input type="radio" name="w2q4" value="A"><span class="opt-text">A. MCAR</span></label><label class="option"><input type="radio" name="w2q4" value="B"><span class="opt-text">B. MAR</span></label><label class="option"><input type="radio" name="w2q4" value="C"><span class="opt-text">C. MNAR</span></label><label class="option"><input type="radio" name="w2q4" value="D"><span class="opt-text">D. Always safe to mean-impute</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: C</div><div class="explanation">Explanation: MNAR applies because missingness depends on the income value itself.</div></div>
<div class="mcq" data-answer="B"><div class="question">Which is the BEST outlier method when data is approximately normal (Gaussian)?</div><div class="options"><label class="option"><input type="radio" name="w2q5" value="A"><span class="opt-text">A. IQR rule</span></label><label class="option"><input type="radio" name="w2q5" value="B"><span class="opt-text">B. Z-score</span></label><label class="option"><input type="radio" name="w2q5" value="C"><span class="opt-text">C. LOF</span></label><label class="option"><input type="radio" name="w2q5" value="D"><span class="opt-text">D. DBSCAN</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: B</div><div class="explanation">Explanation: Z-score works best for approximately normal data because it uses mean and standard deviation.</div></div>
<div class="mcq" data-answer="C"><div class="question">In Z-score outlier detection, a common threshold is:</div><div class="options"><label class="option"><input type="radio" name="w2q6" value="A"><span class="opt-text">A. |Z| &gt; 0.5</span></label><label class="option"><input type="radio" name="w2q6" value="B"><span class="opt-text">B. |Z| &gt; 1</span></label><label class="option"><input type="radio" name="w2q6" value="C"><span class="opt-text">C. |Z| &gt; 3</span></label><label class="option"><input type="radio" name="w2q6" value="D"><span class="opt-text">D. |Z| &gt; 10</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: C</div><div class="explanation">Explanation: A typical cutoff is |Z| &gt; 3 for identifying outliers in normal data.</div></div>
<div class="mcq" data-answer="B"><div class="question">IQR is defined as:</div><div class="options"><label class="option"><input type="radio" name="w2q7" value="A"><span class="opt-text">A. Q1 - Q3</span></label><label class="option"><input type="radio" name="w2q7" value="B"><span class="opt-text">B. Q3 - Q1</span></label><label class="option"><input type="radio" name="w2q7" value="C"><span class="opt-text">C. Q2 - Q1</span></label><label class="option"><input type="radio" name="w2q7" value="D"><span class="opt-text">D. (Q1 + Q3) / 2</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: B</div><div class="explanation">Explanation: IQR equals Q3 minus Q1.</div></div>
<div class="mcq" data-answer="C"><div class="question">If Q1 = 20 and Q3 = 32, what is the IQR?</div><div class="options"><label class="option"><input type="radio" name="w2q8" value="A"><span class="opt-text">A. 8</span></label><label class="option"><input type="radio" name="w2q8" value="B"><span class="opt-text">B. 10</span></label><label class="option"><input type="radio" name="w2q8" value="C"><span class="opt-text">C. 12</span></label><label class="option"><input type="radio" name="w2q8" value="D"><span class="opt-text">D. 52</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: C</div><div class="explanation">Explanation: IQR = Q3 - Q1 = 32 - 20 = 12.</div></div>
<div class="mcq" data-answer="C"><div class="question">Which is an example of a data standardization issue?</div><div class="options"><label class="option"><input type="radio" name="w2q9" value="A"><span class="opt-text">A. Missing values in Age</span></label><label class="option"><input type="radio" name="w2q9" value="B"><span class="opt-text">B. Outliers in Revenue</span></label><label class="option"><input type="radio" name="w2q9" value="C"><span class="opt-text">C. &quot;SG&quot; and &quot;Singapore&quot; refer to the same country</span></label><label class="option"><input type="radio" name="w2q9" value="D"><span class="opt-text">D. Too many columns</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: C</div><div class="explanation">Explanation: Different labels for the same category (SG vs Singapore) indicate a standardization issue.</div></div>
<div class="mcq" data-answer="B"><div class="question">Why should you NEVER fill missing values using the full dataset before splitting train/test?</div><div class="options"><label class="option"><input type="radio" name="w2q10" value="A"><span class="opt-text">A. It increases dimensionality</span></label><label class="option"><input type="radio" name="w2q10" value="B"><span class="opt-text">B. It causes data leakage</span></label><label class="option"><input type="radio" name="w2q10" value="C"><span class="opt-text">C. It reduces correlation</span></label><label class="option"><input type="radio" name="w2q10" value="D"><span class="opt-text">D. It makes the model slower</span></label></div><div class="feedback" aria-live="polite"></div></div>	<div class="back"><div class="answer">Answer: B</div><div class="explanation">Explanation: Imputing before the split leaks test-set information into training.</div></div>
